score,gc_multi,rsi,macd_buy_like,vol_surge,vol_quiet,vol_down,hurst,close,close_adj,adv20,adv20_m,hh252,pct_of_52w_high,max_dd_252,dev200,atr14,natr14,pullback_20d,pullback_60d,adx14,plus_di14,minus_di14,skip_reason,sell_score,sell_reason,sell_trend_break,sell_cross_sma25_down,sell_macd_sell_like,sell_rsi_reversal,sell_trailing_stop,sell_ext_dev200,sell_di_bear,sell_vol_distribution,sell_natr_spike,ticker,price_date,bar_is_current,skip_reason_yahoo,mkt_price,pe_ttm,pbr,eps_ttm,bps,market_cap,earn_ts,earn_start_ts,earn_end_ts,market_risk_on,market_close,market_ma200,fund_ok,earn_ts_pick,next_earn_date,days_to_earnings,earn_date_raw_stale,earn_date_source,earn_date_lookup_error
4,True,56.86274509803922,False,False,True,True,0.505545157147557,418.0,418.0,55942665.0,55.942665,460.9591369628906,0.9068048911104476,-0.4424668492454903,0.2508736019901254,16.495297887281282,3.946243513703656,-0.0256410256410256,-0.0478359908883826,41.82386652377622,26.24759675332317,10.042446149779998,"fund_low_adv20,fund_small_mcap",0,ext_dev200,False,False,False,False,False,True,False,False,False,1447.T,2026-09-04,True,,418.0,21.83908,9.36296,19.14,44.644,10179245056.0,,,,True,,,False,,,,True,unknown_stale_rejected,
6,True,45.71428571428572,False,False,True,True,0.48621287911308,1467.0,1467.0,3947440.0,3.94744,1572.1612548828125,0.9331103889272152,-0.1718406773120421,0.0286562326843133,28.814938197649266,1.9642084660974275,-0.0101214574898785,-0.0284768211920529,21.139657654787253,17.959521739418204,13.699296667834396,"fund_low_adv20,fund_small_mcap",1,macd_sell_like,False,False,True,False,False,False,False,False,False,1450.T,2026-09-04,True,,1467.0,8.532542,1.3833138,171.93,1060.497,12761066496.0,,,,True,,,False,,,,True,unknown_stale_rejected,
2,False,47.93388429752066,False,False,True,False,0.5667825246796381,710.0,710.0,40325785.0,40.325785,1178.602783203125,0.6024082159982782,-0.5899347697909508,-0.1632216245980109,22.40667007526326,3.1558690246849666,-0.1425120772946859,-0.1425120772946859,13.990739407823355,24.21491183762857,27.981960676889667,"fund_low_adv20,fund_small_mcap",3,trend_break;macd_sell_like;trailing_stop,True,False,True,False,True,False,False,False,False,1491.T,2026-09-04,True,,710.0,6.7432804,1.2261844,105.29,579.032,10202470400.0,,,,True,,,False,,,,True,unknown_stale_rejected,
2,False,55.79399141630902,False,False,True,False,0.5780402662902855,672.0,672.0,339309525.0,339.309525,1337.9434814453125,0.5022633686096161,-0.6113438219092256,-0.0156073425336874,24.328795560518145,3.6203564822199614,-0.073103448275862,-0.073103448275862,26.439974383317928,26.95232890849984,22.23169435429036,,1,trend_break,True,False,False,False,False,False,False,False,False,1514.T,2026-09-04,True,,672.0,15.128322,1.433912,44.42,468.648,39156031488.0,,,,True,,,True,,,,True,unknown_stale_rejected,
4,True,48.681541582150096,False,True,False,False,0.5974422479193143,3360.0,3360.0,2940134350.0,2940.13435,4418.4287109375,0.7604513323215023,-0.5097804804141743,0.2251427950669371,252.2071655247157,7.506165640616537,-0.1568381430363864,-0.1568381430363864,34.81559208858022,23.571496141667435,22.73113798287391,,3,macd_sell_like;trailing_stop;ext_dev200;vol_distribution,False,False,True,False,True,True,False,True,False,1515.T,2026-09-04,True,,3360.0,18.83197,1.6464584,178.42,2040.744,264371224576.0,1785997800.0,1793860200.0,1793860200.0,True,,,True,1793860200.0,2026-11-05,44.0,False,,
5,True,46.84684684684685,False,False,True,True,0.4497228496835325,2289.0,2289.0,878336800.0,878.3368,2381.0,0.9613607727845443,-0.1433378936765347,0.4872589852105378,54.18708888998594,2.367282170816336,-0.0386392272154556,-0.0386392272154556,47.79022551428106,28.66300330975285,17.637051630183183,,1,macd_sell_like;ext_dev200,False,False,True,False,False,True,False,False,False,1518.T,2026-09-04,True,,2289.0,15.576727,1.4630181,146.95,1564.574,84757004288.0,,,,True,,,True,,,,True,unknown_stale_rejected,
5,True,50.25432349949136,False,False,True,True,0.5625826745954423,3780.0,3780.0,19183482120.0,19183.48212,4818.1142578125,0.7845393026682144,-0.3350095434526564,0.0513772977716819,115.16538797295988,3.0467033855280388,-0.0807392996108949,-0.0807392996108949,24.36709442337164,32.51469489110344,25.86407144448585,,2,macd_sell_like;trailing_stop,False,False,True,False,True,False,False,False,False,1605.T,2026-09-04,True,,3780.0,10.504086,0.8609762,359.86,4390.365,4393191604224.0,1794465000.0,1794465000.0,1794465000.0,True,,,True,1794465000.0,2026-11-12,49.0,False,,
2,False,55.96529284164859,False,False,True,False,0.6797920697013351,1875.0,1875.0,2320211445.0,2320.211445,2694.0,0.6959910913140311,-0.4175946547884187,-0.0091466536814991,54.29005008619645,2.8954693379304777,-0.0530303030303029,-0.0530303030303029,25.41763490327095,29.274580503293983,16.937147966824647,,1,trend_break,True,False,False,False,False,False,False,False,False,1662.T,2026-09-04,True,,1875.0,8.981606,0.8116008,208.76,2310.249,479998672896.0,1794465000.0,1794465000.0,1794465000.0,True,,,True,1794465000.0,2026-11-12,49.0,False,,
2,False,55.75539568345323,False,False,True,True,0.6704454977943388,1977.0,1977.0,481282690.0,481.28269,2808.479248046875,0.7039396859972821,-0.364424714463759,-0.0555891531748318,44.45743966432937,2.248732405884136,-0.0237037037037036,-0.0237037037037036,26.313990258156604,27.489468611083147,14.855753415647138,,1,trend_break,True,False,False,False,False,False,False,False,False,1663.T,2026-09-04,True,,1977.0,14.599026,0.957048,135.42,2065.727,105615040512.0,,,,True,,,True,,,,True,unknown_stale_rejected,
0,False,60.869565217391305,False,False,True,True,0.3772363246499148,245.0,245.0,8262295.0,8.262295,341.0,0.718475073313783,-0.4087403598971723,-0.0451693362952568,5.199972898382682,2.122437917707217,-0.0120967741935483,-0.0120967741935483,17.11766291915794,14.387152912471834,18.03567040040892,"fund_neg_eps,fund_low_adv20,fund_small_mcap",1,trend_break,True,False,False,False,False,False,False,False,False,1711.T,2026-09-04,True,,245.0,-36.897590361445786,4.759777,-6.64,51.473,2556002560.0,,,,True,,,False,,,,True,unknown_stale_rejected,
